DATE	TIME	BOROUGH	ZIP CODE	LATITUDE	LONGITUDE	LOCATION	ON STREET NAME	CROSS STREET NAME	OFF STREET NAME	NUMBER OF PERSONS INJURED	NUMBER OF PERSONS KILLED	NUMBER OF PEDESTRIANS INJURED	NUMBER OF PEDESTRIANS KILLED	NUMBER OF CYCLIST INJURED	NUMBER OF CYCLIST KILLED	NUMBER OF MOTORIST INJURED	NUMBER OF MOTORIST KILLED	CONTRIBUTING FACTOR VEHICLE 1	CONTRIBUTING FACTOR VEHICLE 2	CONTRIBUTING FACTOR VEHICLE 3	CONTRIBUTING FACTOR VEHICLE 4	CONTRIBUTING FACTOR VEHICLE 5	UNIQUE KEY	VEHICLE TYPE CODE 1	VEHICLE TYPE CODE 2	VEHICLE TYPE CODE 3	VEHICLE TYPE CODE 4	VEHICLE TYPE CODE 5
03/12/2017	10:50	MANHATTAN	10032	40.84019	-73.94307	(40.84019, -73.94307)	FORT WASHINGTON AVENUE          	WEST 165 STREET		0	0	0	0	0	0	0	0	Unspecified	Unspecified				3630737	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE			
03/12/2017	10:50			40.651154	-73.86695	(40.651154, -73.86695)				0	0	0	0	0	0	0	0	Unspecified					3630542	PASSENGER VEHICLE				
03/12/2017	10:51	BROOKLYN	11221	40.68814	-73.919716	(40.68814, -73.919716)			1432      BROADWAY                      	0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Failure to Yield Right-of-Way				3630186	PASSENGER VEHICLE				
03/12/2017	11:00	BRONX	10465	40.828533	-73.82225	(40.828533, -73.82225)			2953      PHILIP AVENUE                 	0	0	0	0	0	0	0	0	Turning Improperly	Unspecified				3631855	SPORT UTILITY / STATION WAGON	SPORT UTILITY / STATION WAGON			
03/12/2017	11:00	BROOKLYN	11234	40.62344	-73.92932	(40.62344, -73.92932)	AVENUE L                        	EAST 48 STREET		0	0	0	0	0	0	0	0	Following Too Closely	Turning Improperly				3631574	SPORT UTILITY / STATION WAGON	SPORT UTILITY / STATION WAGON			
03/12/2017	11:00	MANHATTAN	10013	40.716812	-73.99777	(40.716812, -73.99777)	CANAL STREET                    	MOTT STREET		0	0	0	0	0	0	0	0	Other Vehicular	Other Vehicular				3631233	SPORT UTILITY / STATION WAGON	SPORT UTILITY / STATION WAGON			
03/12/2017	11:00			40.5854	-74.1685	(40.5854, -74.1685)			2505      RICHMOND AVENUE               	0	0	0	0	0	0	0	0	Turning Improperly	Turning Improperly				3630417	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE			
03/12/2017	11:00	BRONX	10469	40.8628	-73.84539	(40.8628, -73.84539)	MACE AVENUE                     	MORGAN AVENUE		1	0	0	0	0	0	1	0	Failure to Yield Right-of-Way	Unspecified				3630787	PASSENGER VEHICLE	PICK-UP TRUCK			
03/12/2017	11:10	BROOKLYN	11230	40.632668	-73.95991	(40.632668, -73.95991)	EAST 18 STREET                  	GLENWOOD ROAD		0	0	0	0	0	0	0	0	Unspecified	Unspecified	Unspecified			3632340	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	11:10	QUEENS	11368	40.740448	-73.84967	(40.740448, -73.84967)			111-26    CORONA AVENUE                 	0	0	0	0	0	0	0	0	Unspecified	Unspecified	Unspecified			3630561	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE	PASSENGER VEHICLE		
03/12/2017	11:15	BRONX	10459	40.82921	-73.89428	(40.82921, -73.89428)	CHISHOLM STREET                 	INTERVALE AVENUE		0	0	0	0	0	0	0	0	Failure to Yield Right-of-Way	Unspecified				3630478	PASSENGER VEHICLE	TAXI			
